,0
2150,4302
2151,4303
2152,4304
2153,4305
2154,4307
2155,4310
2156,4311
2157,4314
2158,4315
2159,4316
2160,4318
2161,4321
2162,4322
2163,4323
2164,4324
2165,4325
2166,4326
2167,4329
2168,4330
2169,4332
2170,4333
2171,4334
2172,4335
2173,4341
2174,4346
2175,4347
2176,4348
2177,4350
2178,4351
2179,4352
2180,4353
2181,4359
2182,4361
2183,4362
2184,4363
2185,4364
2186,4365
2187,4373
2188,4390
2189,4392
2190,4394
2191,4396
2192,4398
2193,4400
2194,4401
2195,4402
2196,4407
2197,4408
2198,4409
2199,4410
2200,4413
2201,4414
2202,4415
2203,4416
2204,4417
2205,4419
2206,4420
2207,4423
2208,4424
2209,4425
2210,4428
2211,4429
2212,4433
2213,4434
2214,4436
2215,4439
2216,4441
2217,4442
2218,4447
2219,4450
2220,4456
2221,4458
2222,4459
2223,4460
2224,4461
2225,4462
2226,4464
2227,4467
2228,4468
2229,4471
2230,4475
2231,4476
2232,4478
2233,4482
2234,4484
2235,4485
2236,4487
2237,4488
2238,4490
2239,4491
2240,4493
2241,4494
2242,4496
2243,4498
2244,4506
2245,4514
2246,4516
2247,4518
2248,4532
2249,4541
2250,4546
2251,4547
2252,4548
2253,4549
2254,4553
2255,4561
2256,4562
2257,4575
2258,4577
2259,4578
2260,4579
2261,4581
2262,4582
2263,4584
2264,4585
2265,4591
2266,4593
2267,4596
2268,4598
2269,4601
2270,4602
2271,4603
2272,4606
2273,4611
2274,4613
2275,4615
2276,4617
2277,4618
2278,4619
2279,4623
2280,4626
2281,4629
2282,4632
2283,4633
2284,4636
2285,4638
2286,4639
2287,4644
2288,4649
2289,4650
2290,4653
2291,4654
2292,4655
2293,4656
2294,4658
2295,4659
2296,4661
2297,4666
2298,4668
2299,4671
2300,4672
2301,4673
2302,4674
2303,4679
2304,4680
2305,4681
2306,4683
2307,4684
2308,4685
2309,4687
2310,4688
2311,4690
2312,4691
2313,4692
2314,4696
2315,4698
2316,4699
2317,4702
2318,4703
2319,4704
2320,4705
2321,4708
2322,4709
2323,4710
2324,4711
2325,4713
2326,4716
2327,4719
2328,4722
2329,4723
2330,4724
2331,4726
2332,4727
2333,4728
2334,4729
2335,4730
2336,4731
2337,4732
2338,4734
2339,4735
2340,4737
2341,4739
2342,4741
2343,4742
2344,4743
2345,4744
2346,4750
2347,4751
2348,4754
2349,4757
2350,4758
2351,4761
2352,4762
2353,4763
2354,4764
2355,4768
2356,4774
2357,4776
2358,4777
2359,4779
2360,4781
2361,4782
2362,4783
2363,4784
2364,4786
2365,4787
2366,4788
2367,4792
2368,4800
2369,4801
2370,4807
2371,4808
2372,4811
2373,4813
2374,4816
2375,4818
2376,4821
2377,4822
2378,4823
2379,4825
2380,4828
2381,4829
2382,4831
2383,4832
2384,4834
2385,4835
2386,4837
2387,4839
2388,4841
2389,4842
2390,4844
2391,4845
2392,4847
2393,4852
2394,4853
2395,4854
2396,4855
2397,4856
2398,4857
2399,4858
2400,4860
2401,4861
2402,4862
2403,4863
2404,4864
2405,4867
2406,4868
2407,4869
2408,4870
2409,4872
2410,4873
2411,4876
2412,4887
2413,4895
2414,4896
2415,4897
2416,4899
2417,4900
2418,4902
2419,4905
2420,4910
2421,4916
2422,4917
2423,4921
2424,4922
2425,4924
2426,4926
2427,4927
2428,4928
2429,4929
2430,4932
2431,4933
2432,4936
2433,4938
2434,4939
2435,4942
2436,4943
2437,4945
2438,4948
2439,4949
2440,4953
2441,4954
2442,4955
2443,4956
2444,4960
2445,4963
2446,4964
2447,4965
2448,4967
2449,4968
2450,4971
2451,4973
2452,4974
2453,4976
2454,4977
2455,4978
2456,4979
2457,4980
2458,4981
2459,4983
2460,4984
2461,4987
2462,4988
2463,4991
2464,4992
2465,4993
2466,4994
2467,4996
2468,4998
2469,4999
2470,5000
2471,5002
2472,5006
2473,5007
2474,5008
2475,5009
2476,5010
2477,5016
2478,5017
2479,5020
2480,5022
2481,5030
2482,5033
2483,5036
2484,5039
2485,5041
2486,5042
2487,5045
2488,5046
2489,5048
2490,5054
2491,5055
2492,5056
2493,5057
2494,5058
2495,5059
2496,5060
2497,5061
2498,5062
2499,5063
2500,5065
2501,5066
2502,5068
2503,5069
2504,5072
2505,5073
2506,5080
2507,5081
2508,5082
2509,5084
2510,5085
2511,5091
2512,5092
2513,5093
2514,5094
2515,5095
2516,5096
2517,5097
2518,5098
2519,5101
2520,5103
2521,5104
2522,5109
2523,5111
2524,5113
2525,5114
2526,5115
2527,5116
2528,5117
2529,5118
2530,5120
2531,5122
2532,5124
2533,5126
2534,5127
2535,5129
2536,5131
2537,5132
2538,5133
2539,5135
2540,5136
2541,5137
2542,5141
2543,5142
2544,5144
2545,5145
2546,5147
2547,5151
2548,5155
2549,5156
2550,5158
2551,5159
2552,5163
2553,5164
2554,5165
2555,5166
2556,5169
2557,5170
2558,5172
2559,5175
2560,5177
2561,5179
2562,5181
2563,5186
2564,5239
2565,5240
2566,5241
2567,5250
2568,5257
2569,5258
2570,5259
2571,5261
2572,5262
2573,5263
2574,5265
